"Mine Name","Subsidiary","Type","Efficiency (Production/Capacity)","Quality of Ore (Grade)","Risk Severity","Reason for Risk"
"Gevra OC","SECL","Opencast",">50 MT/year","GCV ~4372 (G10)","High","Unprecedented scale requires extreme HEMM traffic control via OITDS; high particulate matter (dust) emission risks affecting regional AQI."
"Kusmunda OC","SECL","Opencast",">50 MT/year","GCV ~3948 (G11/G12)","High","Massive overburden removal and heavy blasting operations present severe slope stability and localized environmental risks."
"Dipka OC","SECL","Opencast","~35 - 40 MT/year","GCV ~4722 (G9)","High","Expansive footprint requires constant GIS monitoring for overburden dump stability and heavy machinery proximity hazards."
"Manikpur OC","SECL","Opencast","~2.2 MT/year","GCV ~3753 (G12/G13)","Medium","Continuous monitoring of overburden removal required to prevent localized groundwater impacts in the Korba field."
"Chhal OC","SECL","Opencast","~2.85 MT/year","GCV ~2968 (G14/G15)","Medium","Lower grade extraction; primary risks involve dust generation, requiring strict adherence to wet drilling and water spraying."
"Baroud OC","SECL","Opencast","~2.46 MT/year","GCV ~2812 (G14/G15)","Medium","Standard opencast hazards; requires continuous environmental telemetry for compliance with quarterly air quality sampling."
"Churcha RO","SECL","Underground","< 1.0 MT/year","GCV ~6268 (G4)","Critical","Deep underground operations facing severe strata control challenges, requiring mechanized resin roof bolting and vigilant ventilation tracking."
"Surakachhar","SECL","Underground","< 1.0 MT/year","GCV ~4830 (G9)","High","Complex underground environment necessitating continuous monitoring for gas emissions and equipment failure in confined spaces."
"Amadand OC","SECL","Opencast","~1.85 MT/year","GCV ~3303 (G13)","Medium","Routine opencast risks; requires automated gate entry logs to manage contractor dispatch and weighbridge compliance."
"Jampali OC","SECL","Opencast","~1.15 MT/year","Thermal Grade","Medium","Focus on automated tracking of HEMM fatigue and proper maintenance of surface miners to minimize operational downtime."
"Saraipalli OC","SECL","Opencast","~0.81 MT/year","Thermal Grade","Medium","Requires integration of basic environmental sensors to ensure compliance with DGMS dust and noise limits."
"Rampur Batura OC","SECL","Opencast","~1.15 MT/year","Thermal Grade","Medium","Needs rigorous contractor management protocols to ensure workforce adherence to personal protective equipment (PPE) and shift limits."
"Amlai OC","SECL","Opencast","~0.58 MT/year","GCV ~4133 (G11)","Medium","Standard slope and traffic management risks; AI to monitor optimal fleet utilization against production targets."
"Bhubaneswari OC","MCL","Opencast","~30 MT/year","Thermal Grade","High","Record daily extraction rates (over 86,000 tonnes/day) pose extreme logistical, truck dispatch, and dust suppression risks."
"Lakhanpur OC","MCL","Opencast",">15 MT/year","Thermal Grade","High","Massive integrated project scale demands vast water management and continuous overburden dump slope monitoring to prevent landslides."
"Lingaraj OC","MCL","Opencast","~7.75 MT/year","Thermal Grade","Medium","Ongoing expansion requires strict AI-driven adherence to environmental clearance limits and heavy vehicle fleet proximity tracking."
"Ananta OC","MCL","Opencast","~7.48 MT/year","Thermal Grade","Medium","High volume dispatch necessitates active suppression of respirable airborne dust to protect worker respiratory health."
"Sairmal OCP","MCL","Opencast","~7.16 MT/year","Thermal Grade","Medium","AI must focus on predictive maintenance of surface miners to ensure continuous blast-free extraction."
"Kulda OC","MCL","Opencast","~5.29 MT/year","Thermal Grade","Medium","Extremely high volumes of truck dispatch require strict gate automation and RFID tracking to prevent collisions and overloading."
"Samleswari OC","MCL","Opencast","~5.38 MT/year","Thermal Grade","Medium","Located in the Ib Valley; requires vigilant surface water runoff management to prevent aquatic ecosystem degradation."
"Hingula OC","MCL","Opencast","~4.86 MT/year","Thermal Grade","Medium","Operations require continuous real-time telemetry monitoring of noise and vibration limits generated by heavy machinery."
"Garjanbahal OC","MCL","Opencast","~6.05 MT/year","Thermal Grade","Medium","Contractor management is critical here to ensure adequate safety training and grievance handling for a large contractual workforce."
"Bharathpur OC","MCL","Opencast","~3.12 MT/year","Thermal Grade","Medium","Routine opencast hazards requiring continuous updating of the Site-Specific Risk Assessment based Safety Management Plans."
"Kanhia OC","MCL","Opencast","~3.4 MT/year","Thermal Grade","Medium","Expansion activities must be mapped via GIS to ensure operations do not encroach upon restricted environmental buffer zones."
"Jagannath OC","MCL","Opencast","~0.53 MT/year","Thermal Grade","Medium","Lower current production but historical footprint requires monitoring of old voids and proper backfilling procedures."
"Lajkura OC","MCL","Opencast","~1.46 MT/year","Thermal Grade","Medium","Focus on automated daily inspection logging via mobile applications to track minor slip-and-trip hazards and machinery defects."
"Balram OC","MCL","Opencast","~0.39 MT/year","Thermal Grade","Medium","Requires basic integration into the centralized dashboard for production tracking and worker attendance verification."
"Jayant OC","NCL","Opencast","~12.02 MT/year","Thermal Grade","High","Intense blasting operations and the deployment of massive draglines necessitate strict vibration and equipment proximity safety protocols."
"Dudhichua OC","NCL","Opencast","~11.24 MT/year","Thermal Grade","High","Vast geographical scale requires OITDS and precise geo-fencing to orchestrate the safe movement of hundreds of high-capacity haul trucks."
"Nigahi OC","NCL","Opencast","~8.52 MT/year","Thermal Grade","High","High stripping ratios demand critical slope stability analysis and the mandatory use of automatic fire detection/suppression systems on dumpers."
"Amlohri OC","NCL","Opencast","~6.67 MT/year","Thermal Grade","Medium","Requires strict adherence to DGMS safety management plans regarding the structural integrity and maintenance of draglines."
"Khadia OC (MP & UP)","NCL","Opencast","~6.7 MT/year (Combined)","Thermal Grade","Medium","Inter-state operational boundaries require a robust, unified digital reporting framework for environmental and statutory data."
"Bina OC","NCL","Opencast","~5.42 MT/year","Thermal Grade","Medium","Standard large-scale opencast risks; AI monitoring must focus on fatigue monitoring systems for HEMM operators working long shifts."
"Block-B OC","NCL","Opencast","~3.59 MT/year","Thermal Grade","Medium","Ongoing expansion requires meticulous monitoring of capital equipment deployment, land acquisition compliance, and environmental clearances."
"Krishnashila OC","NCL","Opencast","~3.12 MT/year","Thermal Grade","Medium","High volume dispatch to adjacent power plants requires seamless integration between the mine's digital weighbridges and the central governance dashboard."
"Jhingurda OC","NCL","Opencast","~2.0 MT/year","Thermal Grade","Medium","Needs AI-driven predictive maintenance scheduling to prevent breakdowns in material handling plants and conveyors."
"Moonidih","BCCL","Underground","~1.2 MT/year (Historically)","Prime Coking Coal","Critical","Deep, highly mechanized longwall mine; extreme heat, high humidity, and severe Degree III gassiness require continuous telemetric methane monitoring."
